Date : 2024-05-03 20:26:19
Directory : c:\Users\Lenovo\Desktop\aps\src
Total : 193 files,  28941 codes, 256 comments, 1220 blanks, all 30417 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |        114 |     19,672 |        193 |        788 |     20,653 |
| CSS            |         54 |      7,318 |         51 |        360 |      7,729 |
| JavaScript JSX |         23 |      1,892 |         12 |         71 |      1,975 |
| JSON           |          1 |         58 |          0 |          1 |         59 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        193 |     28,941 |        256 |      1,220 |     30,417 |
| . (Files)                                                                                                                          |          4 |        342 |          0 |         21 |        363 |
| components                                                                                                                         |        175 |     27,056 |        246 |      1,136 |     28,438 |
| components (Files)                                                                                                                 |          4 |        143 |          0 |          6 |        149 |
| components\MainPage                                                                                                                |          3 |        341 |          0 |         32 |        373 |
| components\Notifications                                                                                                           |          2 |        278 |          0 |         10 |        288 |
| components\Profiles                                                                                                                |        143 |     24,112 |        231 |        969 |     25,312 |
| components\Profiles\CollegeProfile                                                                                                 |         27 |      3,473 |         50 |        146 |      3,669 |
| components\Profiles\CollegeProfile (Files)                                                                                         |          4 |      1,042 |          2 |         34 |      1,078 |
| components\Profiles\CollegeProfile\AddStudent                                                                                      |         11 |        941 |         16 |         42 |        999 |
| components\Profiles\CollegeProfile\StudentsTable                                                                                   |         12 |      1,490 |         32 |         70 |      1,592 |
| components\Profiles\DepartmentProfile                                                                                              |         78 |     14,091 |        121 |        584 |     14,796 |
| components\Profiles\DepartmentProfile (Files)                                                                                      |         13 |      2,467 |          7 |         88 |      2,562 |
| components\Profiles\DepartmentProfile\Classrooms                                                                                   |          5 |        617 |         17 |         45 |        679 |
| components\Profiles\DepartmentProfile\Divisions                                                                                    |          3 |        468 |          1 |         27 |        496 |
| components\Profiles\DepartmentProfile\Exam                                                                                         |          7 |      1,912 |         10 |         66 |      1,988 |
| components\Profiles\DepartmentProfile\Modules_s                                                                                    |          7 |      1,230 |         37 |         58 |      1,325 |
| components\Profiles\DepartmentProfile\Proffessor                                                                                   |          5 |      1,179 |         15 |         74 |      1,268 |
| components\Profiles\DepartmentProfile\Programs                                                                                     |         35 |      5,288 |         26 |        196 |      5,510 |
| components\Profiles\DepartmentProfile\Programs (Files)                                                                             |         19 |      2,656 |          9 |        100 |      2,765 |
| components\Profiles\DepartmentProfile\Programs\ProgramModules                                                                      |          2 |        356 |          1 |         17 |        374 |
| components\Profiles\DepartmentProfile\Programs\add_program_module                                                                  |         14 |      2,276 |         16 |         79 |      2,371 |
| components\Profiles\DepartmentProfile\schedule                                                                                     |          3 |        930 |          8 |         30 |        968 |
| components\Profiles\ProfessorProfile                                                                                               |         10 |      2,077 |          8 |        110 |      2,195 |
| components\Profiles\ProfessorProfile (Files)                                                                                       |          5 |      1,381 |          1 |         85 |      1,467 |
| components\Profiles\ProfessorProfile\Home                                                                                          |          2 |        200 |          5 |          5 |        210 |
| components\Profiles\ProfessorProfile\Modules                                                                                       |          3 |        496 |          2 |         20 |        518 |
| components\Profiles\StudentProfile                                                                                                 |         16 |      2,653 |         46 |         79 |      2,778 |
| components\Profiles\StudentProfile (Files)                                                                                         |          6 |      1,090 |         39 |         32 |      1,161 |
| components\Profiles\StudentProfile\Home                                                                                            |          6 |        653 |          2 |         24 |        679 |
| components\Profiles\StudentProfile\Modules                                                                                         |          4 |        910 |          5 |         23 |        938 |
| components\Profiles\UniversityProfile                                                                                              |         11 |      1,673 |          5 |         48 |      1,726 |
| components\Profiles\library                                                                                                        |          1 |        145 |          1 |          2 |        148 |
| components\UI                                                                                                                      |         15 |        477 |          4 |         30 |        511 |
| components\UI (Files)                                                                                                              |          2 |         90 |          0 |          4 |         94 |
| components\UI\Confirm                                                                                                              |          1 |         46 |          0 |          2 |         48 |
| components\UI\ErrorBox                                                                                                             |          2 |         70 |          0 |          8 |         78 |
| components\UI\Form                                                                                                                 |          1 |         35 |          0 |          1 |         36 |
| components\UI\Loader                                                                                                               |          8 |        203 |          0 |         10 |        213 |
| components\UI\Loader (Files)                                                                                                       |          6 |        180 |          0 |         10 |        190 |
| components\UI\Loader\Button                                                                                                        |          2 |         23 |          0 |          0 |         23 |
| components\UI\progressBar                                                                                                          |          1 |         33 |          4 |          5 |         42 |
| components\login                                                                                                                   |          2 |        388 |          0 |         26 |        414 |
| components\navbar                                                                                                                  |          2 |        616 |         10 |         30 |        656 |
| components\universityAccounts                                                                                                      |          4 |        701 |          1 |         33 |        735 |
| hooks                                                                                                                              |          5 |        163 |          5 |         10 |        178 |
| store                                                                                                                              |          9 |      1,380 |          5 |         53 |      1,438 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                           | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\Lenovo\Desktop\aps\src\App.js                                                                                             | JavaScript     |        245 |          0 |         18 |        263 |
| c:\Users\Lenovo\Desktop\aps\src\components\Error.js                                                                                | JavaScript     |         15 |          0 |          2 |         17 |
| c:\Users\Lenovo\Desktop\aps\src\components\Error.module.css                                                                        | CSS            |         25 |          0 |          0 |         25 |
| c:\Users\Lenovo\Desktop\aps\src\components\MainPage\MainPage.js                                                                    | JavaScript     |        122 |          0 |          9 |        131 |
| c:\Users\Lenovo\Desktop\aps\src\components\MainPage\MainPage.module.css                                                            | CSS            |        218 |          0 |         23 |        241 |
